Champion,Class,Release Date,Blue Essence,Season
Aatrox,Juggernaut,2013-06-13,4800,3
Ahri,Burst,2011-12-14,3150,2
Akali,Assassin,2010-05-11,3150,0
Alistar,Vanguard,2009-02-21,1350,0
Amumu,Vanguard,2009-06-26,450,0
Anivia,Battlemage,2009-07-10,3150,0
Annie,Burst,2009-02-21,450,0
Aphelios,Marksman,2019-12-11,6300,9
Ashe,Marksman,2009-02-21,450,0
Aurelion Sol,Battlemange,2016-03-24,6300,6
Azir,Specialist,2014-09-16,4800,4
Bad,Catcher,2015-03-12,6300,5
Blitzcrank,Catcher,2009-09-02,3150,0
Brand,Burst,2011-04-12,4800,1
Braum,Warden,2014-05-12,4800,4
Caitlyn,Marksman,2011-01-04,4800,1
Camille,Diver,2016-12-07,6300,7
Cassiopeia,Battlemage,2010-12-14,4800,1
Cho'Gath,Specialist,2009-06-26,1350,0
Corki,Marksman,2009-09-19,3150,0
Darius,Juggernaut,2012-05-23,4800,2
Diana,Assassin,2012-08-07,4800,2
Dr. Mundo,Juggernaut,2009-09-02,450,0
Draven,Marksman,2012-06-06,4800,2
Ekko,Assassin,2015-05-29,6300,5
Elise,Diver,2012-10-26,4800,2
Evelynn,Assassin,2009-05-01,1350,0
Ezreal,Marksman,2010-03-16,3150,0
Fiddlesticks,Specialist,2009-02-21,1350,0
Fiora,Skirmisher,2012-02-29,4800,2
Fizz,Assassin,2011-11-15,4800,1
Galio,Warden,2010-08-10,3150,0
Gangplank,Specialist,2009-08-19,3150,0
Garen,Juggernaut,2010-04-27,450,0
Gnar,Specialist,2014-08-14,4800,4
Gragas,Vanguard,2010-02-02,3150,0
Gwen,Skirmisher,2021-04-15,6300,11
Hecarim,Diver,2012-04-18,4800,2
Heimerdinger,Specialist,2009-10-10,3150,0
Illaoi,Juggernaut,2015-11-24,6300,5
Irelia,Diver,2010-11-16,4800,0
Ivern,Catcher,2016-10-05,6300,6
Janna,Enchanter,2009-09-02,1350,0
Jarvan IV,Diver,2011-03-01,4800,1
Jax,Skirmisher,2009-02-21,1350,0
Jayce,Artillery,2012-07-07,4800,2
Jhin,Marksman,2016-02-01,6300,6
Jinx,Marksman,2013-10-10,4800,3
Kaisa,Marksman,2018-03-07,6300,8
Kalista,Marksman,2014-11-20,4800,4
Karma,Burst,2011-02-01,3150,1
Karthus,Battlemage,2009-06-12,3150,0
Kassadin,Assassin,2009-08-07,3150,0
Katarina,Assassin,2009-09-19,3150,0
Kayle,Specialist,2009-02-21,450,0
Kayn,Skirmisher,2017-07-12,6300,7
Kennen,Specialist,2010-04-08,4800,0
Khazix,Assassin,2012-09-27,4800,2
Kindred,Marksman,2015-10-14,6300,5
Kled,Skirmisher,2016-08-10,6300,6
Kog Maw,Marksman,2010-06-24,4800,0
Leblanc,Burst,2010-11-02,3150,1
Lee Sin,Diver,2011-04-01,4800,1
Leona,Vanguard,2011-07-13,4800,1
Lillia,Skirmisher,2020-07-22,6300,10
Lissandra,Burst,2013-04-30,4800,3
Lucian,Marksman,2013-08-22,4800,3
Lulu,Enchanter,2012-03-20,4800,2
Lux,Burst,2010-10-19,3150,1
Malphite,Vanguard,2009-09-02,1350,0
Malzahar,Battlemage,2010-06-01,4800,0
Maokai,Vanguard,2011-02-16,4800,1
Master Yi,Skirmisher,2009-02-21,450,0
Miss Fortune,Marksman,2010-09-08,3150,1
Mordekaiser,Juggernaut,2010-02-24,1350,0
Morgana,Catcher,2009-02-21,1350,0
Nami,Enchanter,2012-12-07,4800,2
Nasus,Juggernaut,2009-10-01,1350,0
Nautilus,Vanguard,2012-02-14,4800,2
Neeko,Burst,2018-12-05,6300,8
Nidalee,Specialist,2009-12-17,3150,0
Nocturne,Assassin,2011-03-15,4800,1
Nunu & Willump,Vanguard,2009-02-21,450,0
Olaf,Diver,2010-06-09,3150,0
Orianna,Burst,2011-06-01,4800,1
Ornn,Vanguard,2017-08-23,6300,7
Pantheon,Diver,2010-02-02,3150,0
Poppy,Warden,2010-01-13,450,0
Pyke,Assassin,2018-05-31,6300,8
Qiyana,Assassin,2019-06-28,6300,9
Quinn,Specialist,2013-03-01,4800,3
Rakan,Catcher,2017-04-19,6300,7
Rammus,Vanguard,2009-07-10,1350,0
Reksai,Diver,2014-12-12,4800,4
Rell,Vanguard,2020-12-10,6300,10
Renekton,Diver,2011-01-18,4800,1
Rengar,Assassin,2012-08-21,4800,2
Riven,Skirmisher,2011-09-14,4800,1
Rumble,Battlemage,2011-04-26,4800,1
Ryze,Battlemage,2009-02-21,450,0
Samira,Marksman,2020-09-21,6300,10
Sejuani,Vanguard,2012-01-17,4800,2
Senna,Marksman,2019-11-10,6300,9
Seraphine,Burst,2020-10-29,6300,10
Sett,Juggernaut,2020-01-14,6300,10
Shaco,Assassin,2009-10-10,3150,0
Shen,Warden,2010-03-24,3150,0
Shyvana,Juggernaut,2011-11-01,3150,1
Singed,Specialist,2009-04-18,450,0
Sion,Vanguard,2009-02-21,1350,0
Sivir,Marksman,2009-02-21,450,0
Skarner,Diver,2011-08-09,4800,1
Sona,Enchanter,2010-09-21,3150,1
Soraka,Enchanter,2009-02-21,450,0
Swain,Battlemage,2010-10-05,4800,1
Sylas,Burst,2019-01-25,6300,9
Syndra,Burst,2012-09-13,4800,2
Tahm Kench,Warden,2015-07-09,6300,5
Taliyah,Battlemage,2016-05-18,6300,6
Talon,Assassin,2011-08-24,4800,1
Taric,Enchanter,2009-08-19,1350,0
Teemo,Specialist,2009-02-21,1350,0
Thresh,Catcher,2013-01-23,4800,3
Tristana,Marksman,2009-02-21,1350,0
Trundle,Juggernaut,2010-12-01,3150,1
Tryndamere,Skirmisher,2009-05-01,1350,0
Twisted Fate,Burst,2009-02-21,1350,0
Twitch,Marksman,2009-05-01,3150,0
Udyr,Juggernaut,2009-12-02,1350,0
Urgot,Juggernaut,2010-08-24,3150,1
Varus,Marksman,2012-05-08,4800,2
Vayne,Marksman,2011-05-10,4800,1
Veigar,Burst,2009-07-24,1350,0
Velkoz,Artillery,2014-02-27,4800,4
Vi,Diver,2012-12-19,4800,2
Viego,Skirmisher,2021-01-22,6300,11
Viktor,Battlemage,2011-12-29,4800,2
Vladimir,Battlemage,2010-07-27,3150,1
Volibear,Juggernaut,2011-11-29,3150,1
Warwucj,Duver,2009-02-21,450,0
Wukong,Diver,2011-07-26,4800,1
Xayah,Marksman,2017-04-19,6300,7
Xerath,Artillery,2011-10-05,4800,1
Xin Zhao,Diver,2010-07-13,1350,1
Yasuo,Skirmisher,2013-12-13,4800,3
Yone,Assassin,2020-08-06,6300,10
Yorick,Juggernaut,2011-06-22,4800,1
Yuumi,Enchanter,2019-05-14,6300,9
Zac,Vanguard,2013-03-29,4800,3
Zed,Assassin,2012-11-13,4800,2
Ziggs,Artillery,2012-02-01,4800,2
Zilean,Specialist,2009-04-18,1350,0
Zoe,Burst,2017-11-22,6300,7
Zyra,Catcher,2012-07-24,4800,2
